identical,SurfMatches,PCL Matches,ColorHistDistance
1,60,6,0.754482
1,61,9,0.759171
1,62,8,0.753848
1,64,7,0.752989
1,64,7,0.753571
1,67,7,0.754184
1,62,9,0.7576689999999999
1,74,7,0.754463
1,66,7,0.75313
1,65,8,0.7505109999999999
0,8,3,0.8205459999999999
0,9,4,0.8219870000000001
0,9,1,0.818209
0,12,3,0.81698
0,11,2,0.8273510000000001
0,9,5,0.8241299999999999
0,10,1,0.840569
0,10,2,0.8239350000000001
0,8,3,0.8236049999999999
0,9,3,0.8279639999999999
0,12,1,0.8658959999999999
0,12,2,0.859635
0,11,3,0.8588319999999999
0,8,4,0.8610040000000001
0,11,2,0.8612360000000001
0,9,1,0.864115
0,13,1,0.863891
0,13,4,0.8571290000000001
0,10,2,0.859334
0,14,2,0.859605
0,10,7,0.856923
0,9,9,0.847726
0,9,7,0.845677
0,9,8,0.853016
0,9,6,0.8458709999999999
0,10,7,0.8518479999999999
0,9,7,0.8516969999999999
0,12,8,0.8428680000000001
0,9,7,0.846716
0,8,6,0.8504729999999999
0,11,15,0.844894
0,9,14,0.8503719999999999
0,12,14,0.8450620000000001
0,13,14,0.8491549999999999
0,10,16,0.847052
0,11,15,0.848419
0,12,16,0.8494510000000001
0,11,12,0.8473129999999999
0,12,13,0.853347
0,11,15,0.853773
0,10,1,0.85877
0,13,2,0.85806
0,11,3,0.8529700000000001
0,8,1,0.85856
0,12,2,0.8527049999999999
0,11,1,0.8581200000000001
0,13,1,0.951012
0,11,1,0.860398
0,12,3,0.858081
0,15,3,0.860722
0,12,2,0.856226
0,9,4,0.844357
0,10,3,0.8484940000000001
0,10,2,0.85875
0,9,2,0.853427
0,10,3,0.8397959999999999
0,9,2,0.856332
0,8,2,0.846053
0,12,2,0.8502799999999999
0,11,3,0.855775
0,20,1,0.626522
0,17,0,0.6051770000000001
0,17,1,0.595489
0,21,0,0.613183
0,19,0,0.616302
0,14,1,0.628419
0,10,0,0.6822520000000001
0,15,0,0.611046
0,20,0,0.6152529999999999
0,18,1,0.606735
1,18,1,0.615243
1,19,0,0.6196510000000001
1,12,1,0.674719
0,8,1,0.76459
1,17,0,0.6218239999999999
1,20,2,0.618358
1,19,2,0.617265
1,17,1,0.616751
1,24,1,0.612462
1,9,1,0.70681
0,11,1,0.703651
0,11,1,0.703444
0,13,0,0.7172850000000001
0,13,0,0.705797
0,9,1,0.715426
0,11,0,0.7069439999999999
0,12,0,0.721416
0,10,1,0.711477
0,13,3,0.709665
0,13,1,0.702163
0,12,1,0.714623
0,14,1,0.712387
0,12,1,0.713807
0,15,0,0.715512
0,14,1,0.0
0,8,0,0.788013
0,11,0,0.730163
0,15,0,0.7228829999999999
0,14,0,0.7212850000000001
0,14,0,0.728229
0,15,0,0.733939
0,18,0,0.737594
0,16,0,0.743287
0,22,0,0.742124
0,14,0,0.7369640000000001
0,12,0,0.72444
0,15,0,0.7255229999999999
0,10,0,0.7696189999999999
0,16,0,0.717957
0,9,0,0.747239
0,9,1,0.752677
0,9,4,0.801541
0,9,4,0.794416
0,12,2,0.785313
0,9,4,0.773961
0,10,6,0.8042060000000001
0,13,5,0.783257
0,9,6,0.7855800000000001
0,9,4,0.795712
0,11,5,0.7876270000000001
0,11,4,0.7880739999999999
0,13,2,0.78999
0,10,5,0.7907270000000001
0,10,4,0.781568
0,12,4,0.797603
0,11,3,0.789269
0,15,4,0.803297
0,17,3,0.783772
0,17,5,0.7949930000000001
0,13,4,0.805854
1,60,6,0.754488
1,53,8,0.758555
1,63,9,0.75845
1,62,8,0.753834
1,64,7,0.753019
1,62,7,0.753768
1,59,7,0.756871
1,69,7,0.7536510000000001
1,61,6,0.7561479999999999
1,62,6,0.752249
0,10,2,0.8280299999999999
0,10,2,0.820311
0,8,1,0.8224020000000001
0,10,2,0.826799
0,10,3,0.8205030000000001
0,9,4,0.8219870000000001
0,10,3,0.826752
0,11,1,0.81913
0,10,3,0.819148
0,7,2,0.827767
0,12,1,0.8604370000000001
0,11,2,0.8735930000000001
0,11,2,0.8573799999999999
0,10,3,0.863392
0,9,1,0.899249
0,11,3,0.865115
0,13,1,0.866325
0,11,2,0.8613540000000001
0,11,3,0.85683
0,10,2,0.858302
0,9,5,0.850973
0,12,9,0.845517
0,8,8,0.847134
0,11,8,0.853794
0,11,7,0.855352
0,10,9,0.84819
0,12,8,0.845582
0,10,9,0.8494139999999999
0,11,8,0.8479260000000001
0,11,8,0.8529950000000001
0,11,14,0.85562
0,15,14,0.850352
0,13,8,0.851033
0,13,11,0.8496
0,12,14,0.849242
0,15,13,0.856463
0,12,14,0.853215
0,15,11,0.854504
0,12,16,0.856707
0,10,14,0.8463860000000001
0,11,2,0.8605290000000001
0,11,1,0.949245
0,11,2,0.867547
0,12,2,0.862358
0,12,1,0.868582
0,11,2,0.860491
0,13,2,0.857166
0,10,3,0.852843
0,13,2,0.8568540000000001
0,11,1,0.85265
0,10,2,0.851718
0,10,3,0.857108
0,10,2,0.8584069999999999
0,11,2,0.8580969999999999
0,10,4,0.8498959999999999
0,10,3,0.85536
0,10,2,0.8531129999999999
0,10,2,0.8516809999999999
0,12,2,0.852621
0,10,2,0.846823
0,20,1,0.6255390000000001
0,23,0,0.6058520000000001
0,20,1,0.594138
0,18,0,0.612682
0,18,0,0.6165010000000001
0,14,1,0.629548
0,10,0,0.682013
0,17,0,0.610594
0,26,0,0.614495
0,17,0,0.607167
1,19,1,0.6149220000000001
1,21,0,0.620131
1,9,1,0.67373
0,8,1,0.76684
1,18,0,0.622909
1,21,2,0.6181810000000001
1,18,2,0.617387
1,15,0,0.616333
1,15,0,0.611857
1,10,0,0.713796
0,12,2,0.7209939999999999
0,11,1,0.7031890000000001
0,12,1,0.706659
0,13,0,0.717386
0,10,0,0.723224
0,11,1,0.71008
0,10,0,0.708577
0,10,0,0.7219220000000001
0,9,1,0.710284
0,14,3,0.707765
0,11,1,0.699959
0,12,1,0.714163
0,13,1,0.711526
0,11,1,0.710832
0,12,1,0.714147
0,14,1,0.71314
0,11,0,0.7467060000000001
0,14,0,0.7483770000000001
0,16,0,0.712454
0,20,0,0.713302
0,17,0,0.7140380000000001
0,17,0,0.7242109999999999
0,15,0,0.724751
0,17,0,0.7333430000000001
0,19,1,0.71175
0,12,0,0.739171
0,12,0,0.726947
0,11,0,0.748053
0,13,0,0.712071
0,13,1,0.7313649999999999
0,17,0,0.7228
0,12,0,0.7083
0,18,0,0.7239770000000001
0,11,5,0.790313
0,10,4,0.788719
0,11,2,0.7896350000000001
0,12,3,0.78775
0,8,4,0.784587
0,12,3,0.797041
0,11,3,0.790361
0,10,4,0.7782439999999999
0,10,7,0.797415
0,15,3,0.793191
0,10,4,0.793513
0,10,6,0.801358
0,10,4,0.791987
0,11,4,0.782998
0,8,5,0.793033
0,10,5,0.775089
0,17,5,0.7915409999999999
1,14,4,0.702133
1,10,1,0.695589
1,13,2,0.711274
1,13,0,0.709593
1,9,1,0.713908
1,15,0,0.7326590000000001
1,9,1,0.706775
1,13,1,0.710186
1,9,2,0.722754
1,12,1,0.704666
1,11,1,0.7018840000000001
1,10,0,0.813574
1,10,0,0.718571
1,11,1,0.729082
1,10,1,0.704702
1,15,2,0.7171770000000001
1,12,0,0.714729
1,11,2,0.722036
0,10,1,0.701028
1,10,3,0.703971
1,14,0,0.723957
0,13,0,0.706019
1,11,0,0.7055560000000001
1,13,2,0.718724
1,13,3,0.710281
0,12,1,0.702396
1,13,1,0.713542
0,13,1,0.7121350000000001
1,12,1,0.713663
1,13,0,0.715831
0,11,1,0.71478
1,13,1,0.697126
1,12,1,0.69692
1,11,0,0.717173
1,13,1,0.7073520000000001
1,12,0,0.703176
0,13,0,0.7157439999999999
1,10,0,0.722647
1,10,0,0.710179
1,13,1,0.714448
1,11,2,0.7061930000000001
1,13,0,0.710806
1,11,2,0.69177
0,11,1,0.693675
1,12,1,0.6952619999999999
1,11,1,0.697455
1,25,10,0.7121770000000001
1,24,12,0.7056680000000001
1,28,13,0.720453
1,24,8,0.709551
1,20,9,0.726878
1,25,8,0.720051
1,22,6,0.713908
1,18,10,0.712499
1,18,7,0.715461
0,19,17,0.728073
1,27,7,0.711854
1,15,12,0.697914
1,24,6,0.718641
0,24,10,0.718117
1,24,11,0.719147
1,21,6,0.706958
0,24,9,0.714973
0,18,3,0.72377
1,25,7,0.708001
1,29,10,0.699207
1,25,9,0.706445
0,20,8,0.703125
0,30,10,0.704148
1,25,10,0.70282
1,25,13,0.7098720000000001
1,24,9,0.722141
1,31,7,0.717197
1,25,11,0.724292
1,22,2,0.7089840000000001
0,27,7,0.711746
1,26,8,0.71507
1,23,9,0.7142189999999999
1,22,6,0.717495
1,19,9,0.6920890000000001
1,30,9,0.714274
1,21,4,0.721105
1,25,8,0.720779
1,21,10,0.719122
1,23,8,0.7287100000000001
1,27,9,0.713445
0,26,7,0.710688
1,18,13,0.710133
1,27,10,0.708577
1,24,10,0.7234109999999999
1,25,6,0.714162
1,24,10,0.718989
1,23,7,0.720917
1,24,10,0.71755
0,18,7,0.7341489999999999
1,22,10,0.717116
1,19,16,0.733162
1,23,9,0.7011649999999999
1,27,9,0.714959
1,20,14,0.728273
1,22,12,0.723113
1,58,5,0.7549060000000001
1,61,8,0.758977
1,69,8,0.75856
1,57,8,0.753223
1,65,7,0.75279
1,64,7,0.754125
1,61,7,0.756718
1,67,7,0.754184
1,54,6,0.756627
1,65,6,0.7523350000000001
1,74,7,0.754463
1,65,9,0.753029
1,64,7,0.754023
1,66,8,0.750356
1,65,10,0.753342
1,67,7,0.748356
1,60,8,0.756668
1,65,12,0.755079
1,8,5,0.806822
1,65,5,0.759562
1,61,7,0.76227
1,57,8,0.761606
1,54,4,0.7551720000000001
1,54,7,0.7527
1,9,5,0.8074439999999999
1,68,7,0.7545930000000001
1,53,7,0.75675
1,62,7,0.756977
1,60,5,0.757165
1,57,6,0.750762
1,53,7,0.751592
1,61,4,0.752372
1,54,5,0.7552770000000001
1,64,6,0.7563300000000001
1,61,4,0.758351
1,60,4,0.762055
1,71,4,0.759
1,57,6,0.7552300000000001
1,62,9,0.75449
1,56,8,0.761051
1,67,9,0.7598659999999999
1,68,9,0.7548520000000001
1,69,6,0.7564609999999999
1,63,10,0.755275
1,57,9,0.758545
1,69,8,0.756738
1,67,9,0.761447
1,67,8,0.7525390000000001
1,61,7,0.761832
1,70,9,0.7532939999999999
1,59,8,0.756904
1,8,5,0.805196
1,58,10,0.7535810000000001
1,68,6,0.758837
1,63,9,0.754533
1,54,7,0.756229
1,69,7,0.752178
1,67,7,0.758987
1,75,7,0.7515470000000001
1,65,4,0.754497
1,53,4,0.754184
1,66,7,0.763811
1,55,8,0.755778
1,69,9,0.752648
1,61,6,0.75627
1,61,9,0.761035
1,56,7,0.7536430000000001
1,66,7,0.753414
1,67,9,0.747602
1,72,10,0.75817
1,11,4,0.8075640000000001
1,68,7,0.754918
1,65,5,0.7571680000000001
1,67,9,0.761441
1,60,9,0.758468
1,47,8,0.755524
1,8,5,0.802539
1,72,9,0.753135
1,65,4,0.756905
1,61,6,0.754736
1,61,7,0.755087
1,64,7,0.753931
1,65,8,0.7581720000000001
1,65,9,0.0
1,59,7,0.756196
1,62,4,0.754728
1,58,6,0.7529710000000001
1,59,6,0.754242
1,63,8,0.762606
1,64,6,0.754302
1,63,5,0.750455
1,10,3,0.796571
1,13,3,0.796442
1,15,3,0.799231
1,14,2,0.799784
1,10,2,0.7984060000000001
1,15,3,0.798791
1,11,5,0.7962640000000001
1,11,3,0.799629
1,9,2,0.7950109999999999
1,12,3,0.803372
1,11,3,0.8020520000000001
1,9,3,0.796395
1,9,5,0.804755
1,10,5,0.803868
1,11,4,0.792132
1,13,4,0.794909
1,70,4,0.7501800000000001
1,71,5,0.754884
1,70,4,0.759583
1,74,7,0.7613949999999999
1,63,3,0.756885
1,59,5,0.752112
