identical,SurfMatches,ICP Similarityscore,ColorHistDistance
1,60,9.12651e-06,0.754482
1,61,8.628089999999999e-06,0.759171
1,62,8.29286e-06,0.753848
1,64,7.47807e-06,0.752989
1,64,8.7348e-06,0.753571
1,67,7.68363e-06,0.754184
1,62,8.22491e-06,0.7576689999999999
1,74,8.14293e-06,0.754463
1,66,7.92533e-06,0.75313
1,65,6.761289999999998e-06,0.7505109999999999
0,8,5.15794e-05,0.8205459999999999
0,9,4.03835e-05,0.8219870000000001
0,9,5.5049e-05,0.818209
0,12,2.81969e-05,0.81698
0,11,5.12233e-05,0.8273510000000001
0,9,4.55063e-05,0.8241299999999999
0,10,6.18376e-05,0.840569
0,10,5.79151e-05,0.8239350000000001
0,8,5.0553e-05,0.8236049999999999
0,9,2.61373e-05,0.8279639999999999
0,12,0.000608356,0.8658959999999999
0,12,0.000634443,0.859635
0,11,0.000615186,0.8588319999999999
0,8,0.000612208,0.8610040000000001
0,11,0.000638791,0.8612360000000001
0,9,0.00060942,0.864115
0,13,0.000637758,0.863891
0,13,0.0006134269999999999,0.8571290000000001
0,10,0.0006275019999999999,0.859334
0,14,0.000628603,0.859605
0,10,1.06073e-05,0.856923
0,9,9.47505e-06,0.847726
0,9,1.05255e-05,0.845677
0,9,1.10672e-05,0.853016
0,9,1.11475e-05,0.8458709999999999
0,10,1.03756e-05,0.8518479999999999
0,9,1.03112e-05,0.8516969999999999
0,12,1.13942e-05,0.8428680000000001
0,9,1.06457e-05,0.846716
0,8,9.53133e-06,0.8504729999999999
0,11,3.8398800000000014e-06,0.844894
0,9,3.7208e-06,0.8503719999999999
0,12,3.78369e-06,0.8450620000000001
0,13,3.75786e-06,0.8491549999999999
0,10,3.76756e-06,0.847052
0,11,3.67971e-06,0.848419
0,12,3.7308e-06,0.8494510000000001
0,11,3.8388099999999986e-06,0.8473129999999999
0,12,3.84515e-06,0.853347
0,11,3.9877999999999985e-06,0.853773
0,10,4.49077e-05,0.85877
0,13,5.000140000000001e-05,0.85806
0,11,5.70059e-05,0.8529700000000001
0,8,4.08019e-05,0.85856
0,12,5.030140000000001e-05,0.8527049999999999
0,11,5.18379e-05,0.8581200000000001
0,13,6.08231e-05,0.951012
0,11,5.46149e-05,0.860398
0,12,5.07449e-05,0.858081
0,15,6.22874e-05,0.860722
0,12,1.27961e-05,0.856226
0,9,1.61358e-05,0.844357
0,10,1.47876e-05,0.8484940000000001
0,10,1.62472e-05,0.85875
0,9,1.3682e-05,0.853427
0,10,1.40436e-05,0.8397959999999999
0,9,1.62534e-05,0.856332
0,8,1.39371e-05,0.846053
0,12,1.34677e-05,0.8502799999999999
0,11,1.73265e-05,0.855775
0,20,0.000214626,0.626522
0,17,0.000223148,0.6051770000000001
0,17,0.000219961,0.595489
0,21,0.000230826,0.613183
0,19,0.000224921,0.616302
0,14,0.000239684,0.628419
0,10,0.000233202,0.6822520000000001
0,15,0.000218217,0.611046
0,20,0.000217409,0.6152529999999999
0,18,0.000215522,0.606735
1,18,0.000210667,0.615243
1,19,0.000237818,0.6196510000000001
1,12,0.000220537,0.674719
0,8,0.000310652,0.76459
1,17,0.000230224,0.6218239999999999
1,20,0.000218983,0.618358
1,19,0.000229364,0.617265
1,17,0.000220931,0.616751
1,24,0.000230211,0.612462
1,9,9.09039e-05,0.70681
0,11,8.547049999999999e-05,0.703651
0,11,8.30944e-05,0.703444
0,13,7.9998e-05,0.7172850000000001
0,13,8.31759e-05,0.705797
0,9,8.18775e-05,0.715426
0,11,8.36132e-05,0.7069439999999999
0,12,8.570549999999999e-05,0.721416
0,10,8.24624e-05,0.711477
0,13,8.49203e-05,0.709665
0,13,8.43341e-05,0.702163
0,12,8.21642e-05,0.714623
0,14,8.343530000000001e-05,0.712387
0,12,8.32754e-05,0.713807
0,15,8.15207e-05,0.715512
0,14,7.89969e-05,0.0
0,8,0.00118295,0.788013
0,11,0.00118331,0.730163
0,15,0.00120168,0.7228829999999999
0,14,0.00124952,0.7212850000000001
0,14,0.0012199,0.728229
0,15,0.00125214,0.733939
0,18,0.00122927,0.737594
0,16,0.00123122,0.743287
0,22,0.00122749,0.742124
0,14,0.00119143,0.7369640000000001
0,12,0.00119558,0.72444
0,15,0.00122508,0.7255229999999999
0,10,0.00117484,0.7696189999999999
0,16,0.00124545,0.717957
0,9,0.00114721,0.747239
0,9,0.0011431,0.752677
0,9,5.77003e-05,0.801541
0,9,5.40003e-05,0.794416
0,12,4.92576e-05,0.785313
0,9,4.11331e-05,0.773961
0,10,4.80248e-05,0.8042060000000001
0,13,4.45109e-05,0.783257
0,9,4.24254e-05,0.7855800000000001
0,9,4.67088e-05,0.795712
0,11,5.05733e-05,0.7876270000000001
0,11,4.6658e-05,0.7880739999999999
0,13,5.70355e-05,0.78999
0,10,5.78226e-05,0.7907270000000001
0,10,4.43784e-05,0.781568
0,12,6.05065e-05,0.797603
0,11,4.18531e-05,0.789269
0,15,0.000170077,0.803297
0,17,0.000194139,0.783772
0,17,0.000191237,0.7949930000000001
0,13,0.000180813,0.805854
1,60,9.12651e-06,0.754488
1,53,7.09227e-06,0.758555
1,63,8.628089999999999e-06,0.75845
1,62,8.29286e-06,0.753834
1,64,7.47807e-06,0.753019
1,62,8.7348e-06,0.753768
1,59,8.05743e-06,0.756871
1,69,7.68363e-06,0.7536510000000001
1,61,7.818099999999999e-06,0.7561479999999999
1,62,7.25946e-06,0.752249
0,10,4.8354e-05,0.8280299999999999
0,10,4.3365e-05,0.820311
0,8,6.01663e-05,0.8224020000000001
0,10,5.54858e-05,0.826799
0,10,5.15794e-05,0.8205030000000001
0,9,4.03835e-05,0.8219870000000001
0,10,5.08792e-05,0.826752
0,11,5.5049e-05,0.81913
0,10,2.81969e-05,0.819148
0,7,5.12233e-05,0.827767
0,12,0.000612116,0.8604370000000001
0,11,0.000603893,0.8735930000000001
0,11,0.000618899,0.8573799999999999
0,10,0.000592977,0.863392
0,9,0.000626849,0.899249
0,11,0.000612162,0.865115
0,13,0.000608356,0.866325
0,11,0.000634443,0.8613540000000001
0,11,0.0006249340000000001,0.85683
0,10,0.000624183,0.858302
0,9,1.0891300000000004e-05,0.850973
0,12,1.12473e-05,0.845517
0,8,1.16884e-05,0.847134
0,11,1.0038e-05,0.853794
0,11,1.31927e-05,0.855352
0,10,1.22744e-05,0.84819
0,12,1.01678e-05,0.845582
0,10,1.06849e-05,0.8494139999999999
0,11,1.00155e-05,0.8479260000000001
0,11,1.06808e-05,0.8529950000000001
0,11,4.08172e-06,0.85562
0,15,4.1019e-06,0.850352
0,13,3.78189e-06,0.851033
0,13,4.17465e-06,0.8496
0,12,3.949280000000002e-06,0.849242
0,15,3.99366e-06,0.856463
0,12,4.56962e-06,0.853215
0,15,4.0376300000000005e-06,0.854504
0,12,3.93017e-06,0.856707
0,10,3.9736e-06,0.8463860000000001
0,11,4.92738e-05,0.8605290000000001
0,11,6.64878e-05,0.949245
0,11,4.82183e-05,0.867547
0,12,5.0397e-05,0.862358
0,12,6.03647e-05,0.868582
0,11,4.68771e-05,0.860491
0,13,5.07515e-05,0.857166
0,10,3.37087e-05,0.852843
0,13,4.89468e-05,0.8568540000000001
0,11,4.32566e-05,0.85265
0,10,1.29166e-05,0.851718
0,10,1.30895e-05,0.857108
0,10,1.48393e-05,0.8584069999999999
0,11,1.77712e-05,0.8580969999999999
0,10,1.54606e-05,0.8498959999999999
0,10,1.32864e-05,0.85536
0,10,1.3328e-05,0.8531129999999999
0,10,1.40171e-05,0.8516809999999999
0,12,1.30536e-05,0.852621
0,10,1.39937e-05,0.846823
0,20,0.000214626,0.6255390000000001
0,23,0.000223022,0.6058520000000001
0,20,0.000219961,0.594138
0,18,0.000230826,0.612682
0,18,0.000224921,0.6165010000000001
0,14,0.000239684,0.629548
0,10,0.000233202,0.682013
0,17,0.000218217,0.610594
0,26,0.000217409,0.614495
0,17,0.000215522,0.607167
1,19,0.000210667,0.6149220000000001
1,21,0.000237818,0.620131
1,9,0.000220537,0.67373
0,8,0.000310652,0.76684
1,18,0.000230224,0.622909
1,21,0.000218983,0.6181810000000001
1,18,0.000229364,0.617387
1,15,0.000220931,0.616333
1,15,0.000224638,0.611857
1,10,8.057600000000001e-05,0.713796
0,12,8.269450000000001e-05,0.7209939999999999
0,11,8.547049999999999e-05,0.7031890000000001
0,12,8.44391e-05,0.706659
0,13,7.9998e-05,0.717386
0,10,8.38582e-05,0.723224
0,11,8.43172e-05,0.71008
0,10,8.36132e-05,0.708577
0,10,8.570549999999999e-05,0.7219220000000001
0,9,8.24624e-05,0.710284
0,14,8.49203e-05,0.707765
0,11,8.43341e-05,0.699959
0,12,8.21642e-05,0.714163
0,13,8.343530000000001e-05,0.711526
0,11,8.32754e-05,0.710832
0,12,8.403e-05,0.714147
0,14,8.71798e-05,0.71314
0,11,0.00118295,0.7467060000000001
0,14,0.00116969,0.7483770000000001
0,16,0.00123242,0.712454
0,20,0.00126235,0.713302
0,17,0.0012199,0.7140380000000001
0,17,0.00125214,0.7242109999999999
0,15,0.00122927,0.724751
0,17,0.00123122,0.7333430000000001
0,19,0.00122306,0.71175
0,12,0.00115962,0.739171
0,12,0.00120725,0.726947
0,11,0.00116585,0.748053
0,13,0.00121775,0.712071
0,13,0.00120544,0.7313649999999999
0,17,0.00117174,0.7228
0,12,0.00119489,0.7083
0,18,0.00120458,0.7239770000000001
0,11,5.05733e-05,0.790313
0,10,4.6658e-05,0.788719
0,11,5.70355e-05,0.7896350000000001
0,12,4.83055e-05,0.78775
0,8,4.43784e-05,0.784587
0,12,6.05065e-05,0.797041
0,11,4.18531e-05,0.790361
0,10,4.7492299999999986e-05,0.7782439999999999
0,10,4.52632e-05,0.797415
0,15,5.5249e-05,0.793191
0,10,4.56165e-05,0.793513
0,10,4.3613e-05,0.801358
0,10,5.24529e-05,0.791987
0,11,4.781060000000001e-05,0.782998
0,8,4.84455e-05,0.793033
0,10,4.83165e-05,0.775089
0,17,0.000190846,0.7915409999999999
1,14,7.97488e-05,0.702133
1,10,9.02281e-05,0.695589
1,13,8.073100000000001e-05,0.711274
1,13,7.808270000000001e-05,0.709593
1,9,8.25309e-05,0.713908
1,15,8.21804e-05,0.7326590000000001
1,9,8.38434e-05,0.706775
1,13,8.28913e-05,0.710186
1,9,8.50907e-05,0.722754
1,12,8.17892e-05,0.704666
1,11,8.338360000000001e-05,0.7018840000000001
1,10,8.762889999999999e-05,0.813574
1,10,8.11745e-05,0.718571
1,11,8.07467e-05,0.729082
1,10,8.6849e-05,0.704702
1,15,8.413629999999999e-05,0.7171770000000001
1,12,8.057600000000001e-05,0.714729
1,11,8.269450000000001e-05,0.722036
0,10,8.547049999999999e-05,0.701028
1,10,8.403700000000001e-05,0.703971
1,14,7.979289999999999e-05,0.723957
0,13,8.34118e-05,0.706019
1,11,8.36132e-05,0.7055560000000001
1,13,8.1165e-05,0.718724
1,13,8.49203e-05,0.710281
0,12,8.43341e-05,0.702396
1,13,8.21642e-05,0.713542
0,13,8.343530000000001e-05,0.7121350000000001
1,12,8.32754e-05,0.713663
1,13,8.15207e-05,0.715831
0,11,7.85388e-05,0.71478
1,13,7.9009e-05,0.697126
1,12,8.370219999999999e-05,0.69692
1,11,8.27325e-05,0.717173
1,13,8.04379e-05,0.7073520000000001
1,12,8.697489999999999e-05,0.703176
0,13,8.608889999999999e-05,0.7157439999999999
1,10,7.90826e-05,0.722647
1,10,8.472059999999999e-05,0.710179
1,13,8.45427e-05,0.714448
1,11,8.589459999999999e-05,0.7061930000000001
1,13,8.590290000000001e-05,0.710806
1,11,8.243129999999999e-05,0.69177
0,11,8.089619999999999e-05,0.693675
1,12,8.47328e-05,0.6952619999999999
1,11,8.23202e-05,0.697455
1,25,2.43805e-05,0.7121770000000001
1,24,2.51247e-05,0.7056680000000001
1,28,2.43365e-05,0.720453
1,24,2.51868e-05,0.709551
1,20,2.38542e-05,0.726878
1,25,2.3472800000000007e-05,0.720051
1,22,3.81391e-05,0.713908
1,18,2.49943e-05,0.712499
1,18,2.50159e-05,0.715461
0,19,2.33605e-05,0.728073
1,27,2.30064e-05,0.711854
1,15,2.74702e-05,0.697914
1,24,2.83318e-05,0.718641
0,24,2.73382e-05,0.718117
1,24,2.19869e-05,0.719147
1,21,2.25999e-05,0.706958
0,24,2.3780100000000006e-05,0.714973
0,18,5.75538e-05,0.72377
1,25,3.01991e-05,0.708001
1,29,2.52684e-05,0.699207
1,25,2.36729e-05,0.706445
0,20,2.42836e-05,0.703125
0,30,2.49525e-05,0.704148
1,25,2.53475e-05,0.70282
1,25,2.5238e-05,0.7098720000000001
1,24,2.58785e-05,0.722141
1,31,2.50337e-05,0.717197
1,25,2.62569e-05,0.724292
1,22,2.1032600000000006e-05,0.7089840000000001
0,27,2.36029e-05,0.711746
1,26,2.47027e-05,0.71507
1,23,2.60848e-05,0.7142189999999999
1,22,2.11289e-05,0.717495
1,19,2.46851e-05,0.6920890000000001
1,30,2.4154e-05,0.714274
1,21,5.15595e-05,0.721105
1,25,2.51017e-05,0.720779
1,21,2.4050500000000006e-05,0.719122
1,23,2.25343e-05,0.7287100000000001
1,27,2.4878e-05,0.713445
0,26,2.27624e-05,0.710688
1,18,2.31956e-05,0.710133
1,27,2.21678e-05,0.708577
1,24,2.34008e-05,0.7234109999999999
1,25,2.40466e-05,0.714162
1,24,2.01862e-05,0.718989
1,23,2.4467e-05,0.720917
1,24,2.55191e-05,0.71755
0,18,2.41424e-05,0.7341489999999999
1,22,2.46211e-05,0.717116
1,19,3.674050000000001e-05,0.733162
1,23,2.5187600000000006e-05,0.7011649999999999
1,27,2.47473e-05,0.714959
1,20,2.3905500000000007e-05,0.728273
1,22,2.54069e-05,0.723113
1,58,9.12651e-06,0.7549060000000001
1,61,7.09227e-06,0.758977
1,69,8.628089999999999e-06,0.75856
1,57,8.29286e-06,0.753223
1,65,7.47807e-06,0.75279
1,64,8.7348e-06,0.754125
1,61,8.05743e-06,0.756718
1,67,7.68363e-06,0.754184
1,54,7.818099999999999e-06,0.756627
1,65,7.25946e-06,0.7523350000000001
1,74,8.14293e-06,0.754463
1,65,7.238380000000001e-06,0.753029
1,64,7.98936e-06,0.754023
1,66,6.761289999999998e-06,0.750356
1,65,8.16495e-06,0.753342
1,67,7.375239999999999e-06,0.748356
1,60,7.5319600000000015e-06,0.756668
1,65,8.11754e-06,0.755079
1,8,6.77485e-06,0.806822
1,65,9.64903e-06,0.759562
1,61,9.02859e-06,0.76227
1,57,8.14305e-06,0.761606
1,54,8.36194e-06,0.7551720000000001
1,54,9.04482e-06,0.7527
1,9,9.40177e-06,0.8074439999999999
1,68,7.17237e-06,0.7545930000000001
1,53,7.69023e-06,0.75675
1,62,8.45218e-06,0.756977
1,60,9.46597e-06,0.757165
1,57,8.73145e-06,0.750762
1,53,8.08511e-06,0.751592
1,61,9.267589999999997e-06,0.752372
1,54,8.164400000000001e-06,0.7552770000000001
1,64,8.272519999999999e-06,0.7563300000000001
1,61,1.02139e-05,0.758351
1,60,8.84459e-06,0.762055
1,71,8.69765e-06,0.759
1,57,7.54145e-06,0.7552300000000001
1,62,8.72691e-06,0.75449
1,56,6.0639199999999985e-06,0.761051
1,67,7.63995e-06,0.7598659999999999
1,68,8.04224e-06,0.7548520000000001
1,69,8.54479e-06,0.7564609999999999
1,63,8.614839999999999e-06,0.755275
1,57,9.123889999999997e-06,0.758545
1,69,7.98283e-06,0.756738
1,67,7.089610000000001e-06,0.761447
1,67,5.97686e-06,0.7525390000000001
1,61,8.26999e-06,0.761832
1,70,7.42558e-06,0.7532939999999999
1,59,1.00355e-05,0.756904
1,8,6.93428e-06,0.805196
1,58,9.947510000000003e-06,0.7535810000000001
1,68,9.72917e-06,0.758837
1,63,8.2283e-06,0.754533
1,54,9.53378e-06,0.756229
1,69,5.13172e-06,0.752178
1,67,8.21563e-06,0.758987
1,75,6.4389300000000016e-06,0.7515470000000001
1,65,8.15983e-06,0.754497
1,53,8.6853e-06,0.754184
1,66,9.419910000000003e-06,0.763811
1,55,8.48688e-06,0.755778
1,69,7.58255e-06,0.752648
1,61,6.350670000000001e-06,0.75627
1,61,1.0755e-05,0.761035
1,56,9.54048e-06,0.7536430000000001
1,66,6.64362e-06,0.753414
1,67,7.95937e-06,0.747602
1,72,8.74967e-06,0.75817
1,11,8.842000000000001e-06,0.8075640000000001
1,68,8.89585e-06,0.754918
1,65,9.25482e-06,0.7571680000000001
1,67,8.34241e-06,0.761441
1,60,9.48956e-06,0.758468
1,47,9.04468e-06,0.755524
1,8,9.17203e-06,0.802539
1,72,8.12067e-06,0.753135
1,65,8.87722e-06,0.756905
1,61,8.09609e-06,0.754736
1,61,9.24372e-06,0.755087
1,64,8.30207e-06,0.753931
1,65,8.06948e-06,0.7581720000000001
1,65,1.04298e-05,0.0
1,59,8.56073e-06,0.756196
1,62,7.586849999999998e-06,0.754728
1,58,8.10559e-06,0.7529710000000001
1,59,8.212369999999999e-06,0.754242
1,63,7.89836e-06,0.762606
1,64,7.80991e-06,0.754302
1,63,8.907569999999999e-06,0.750455
1,10,1.61349e-05,0.796571
1,13,2.1280300000000007e-05,0.796442
1,15,2.05176e-05,0.799231
1,14,2.06552e-05,0.799784
1,10,2.21558e-05,0.7984060000000001
1,15,1.86189e-05,0.798791
1,11,2.89429e-05,0.7962640000000001
1,11,2.65363e-05,0.799629
1,9,1.45716e-05,0.7950109999999999
1,12,2.29413e-05,0.803372
1,11,2.32354e-05,0.8020520000000001
1,9,1.6676500000000002e-05,0.796395
1,9,1.90168e-05,0.804755
1,10,2.3843400000000006e-05,0.803868
1,11,2.45707e-05,0.792132
1,13,1.88763e-05,0.794909
1,70,2.16876e-05,0.7501800000000001
1,71,2.17621e-05,0.754884
1,70,2.59596e-05,0.759583
1,74,2.37087e-05,0.7613949999999999
1,63,2.2256e-05,0.756885
1,59,2.46912e-05,0.752112
